title,artist
Standing Next To You,Jung Kook
500lbs,Lil Tecca
Strangers,Kenya Grace
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
Bad Idea Right?,Olivia Rodrigo
Great Gatsby,Rod Wave
Get Him Back!,Olivia Rodrigo
Can't Have Mine,Dylan Scott
Virginia Beach,Drake
Everything I Love,Morgan Wallen
Standing Room Only,Tim McGraw
Try That In A Small Town,Jason Aldean
Cobra,Megan Thee Stallion
Truck Bed,HARDY
Qlona,Karol G & Peso Pluma
Too Much,"The Kid LAROI, Jung Kook & Central Cee"
Perro Negro,Bad Bunny & Feid
Hey Driver,Zach Bryan Featuring The War And Treaty
Style (Taylor's Version),Taylor Swift
Rich Men North Of Richmond,Oliver Anthony Music
Meltdown,Travis Scott Featuring Drake
Bongos,Cardi B & Megan Thee Stallion
Slime You Out,Drake Featuring SZA
Segun Quien,Maluma & Carin Leon
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Single Soon,Selena Gomez
Burn It Down,Parker McCollum
LaLa,Myke Towers
Bad Blood (Taylor's Version),Taylor Swift
Can't Catch Me Now,Olivia Rodrigo
Turks & Caicos,Rod Wave Featuring 21 Savage
SkeeYee,Sexyy Red
Out Of The Woods (Taylor's Version),Taylor Swift
Wildest Dreams (Taylor's Version),Taylor Swift
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Save Me The Trouble,Dan + Shay
Stars Like Confetti,Dustin Lynch
LALALALA,Stray Kids
Seven,Jung Kook Featuring Latto
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
Blank Space (Taylor's Version),Taylor Swift
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Smurk Carter,Lil Durk
Mi Ex Tenia Razon,Karol G
Different 'Round Here,Riley Green Featuring Luke Combs
But I Got A Beer In My Hand,Luke Bryan
Better Than Ever,YoungBoy Never Broke Again & Rod Wave
Soak City (Do It),310babii
